teff,fe_h
4725.414,0.1522248
4672.281,-0.5299048
4876.165,-0.4431832
5082.188,-0.8662854
4913.332,-0.2117677
4238.873,-0.07910132
4560.813,-0.5207453
4621.278,-0.7369457
4501.741,-0.4264196
4605.467,0.1268554
4585.634,0.176244
4526.313,-0.2046146
4472.542,-0.410867
4300.483,-0.153053
4660.233,-0.1064209
4596.651,-0.2362629
4703.508,0.04339348
4717.175,0.0514771
4568.37,0.1681208
4521.496,-1.719452
4733.829,-1.61312
4640.598,-1.79345
4316.742,-1.729839
4693.904,-1.727219
4571.539,-1.428706
4346.679,-1.798022
4624.986,-1.855091
4984.505,-0.6343902
4763.809,-1.478131
4560.24,-1.678659
4352.305,-1.502796
4671.45,-1.671123
4030.043,-0.6504139
4625.58,-1.543379
4865.4,-1.663009
4764.667,-1.814771
4672,-1.746207
4649.375,-1.671239
4668.306,-1.639134
4690.036,-1.680625
4492.774,-1.318147
4700.144,-1.9254
4746.721,-1.721376
4498.303,-1.723072
4996.421,0.005443466
4987.386,-0.8694237
4990.513,-0.3125262
4191.511,-0.2465865
4503.318,-1.714221
4976.621,-1.941559
4555.826,-1.842502
4478.896,-1.492566
4908.635,-0.9465896
4156.932,0.09243211
4714.651,0.1286822
4724.416,-0.4689177
4250.323,-1.593397
4624.002,0.1046927
4510.077,-0.3088336
4730.933,-0.1128243
5003.897,-0.5197174
5018.833,0.08235975
4607.861,0.3001678
5087.131,-1.145798
4954.661,-0.6494101
4817.104,-0.1867003
4167.704,0.01138248
4608.872,-0.2391262
4732.842,-0.6728864
4267.682,-0.4686493
4548.521,0.2408517
4621.808,-0.2338553
4703.018,-1.73413
4867.037,-0.5665863
5007.314,-0.1016044
4567.469,-0.001523511
4330.925,-1.192354
5060.893,-1.018011
4732.534,0.1642302
4795.204,0.06064791
4919.077,-1.765934
4873.993,-0.3118814
4642.099,-0.1345415
5091.432,-0.1834207
4895.531,-0.4506212
4655.405,-1.813993
4654.65,0.1259343
4644.184,-0.4749234
4531.282,-0.5842124
4763.452,-0.1261466
4982.365,-0.5330184
4873.755,-0.4934197
5075.272,-0.947503
4752.338,0.1109497
4776.914,-0.4620535
4907.569,-0.1611791
4697.268,-0.4121123
4577.61,0.1627881
5012.767,-1.433511
4961.175,-0.4649207
4959.767,-0.3098351
4878.632,-0.1706362
4978.747,0.1549023
4710.064,0.05977514
4959.897,-0.2769814
5044.299,0.1282788
4881.169,-0.7614247
4864.724,-0.2142411
4996.044,-0.4080372
4699.006,-0.3665727
4811.605,-0.2269944
4549.599,-0.3955262
5040.728,-0.431638
4739.754,-0.1679586
3950.589,-1.39334
4623.434,0.1949376
4936.383,-0.3723554
4788.228,-0.3716391
4608.814,0.03300611
3743.476,-0.7968723
4742.724,-0.1530527
5116.769,-0.8259736
4966.363,-0.08396298
4717.987,-0.6106746
4871.709,-0.3528734
4963.021,-0.1642944
5054.303,0.1573743
5041.932,0.09057838
5022.86,-0.5408902
4684.717,-0.3444549
4987.998,-0.2065428
4537.88,-2.098991
4783,-0.9374523
5019.28,-1.975492
4578.937,-0.3239034
5119.676,0.07079822
3823.693,-0.7940888
4254.19,-0.2724562
5095.271,-0.6153216
5094.774,-0.8807886
4970.223,-0.07512557
4988.489,-0.2349055
3993.001,-1.268507
4666.214,-0.4032351
4942.117,-0.08423983
